question,paragraph,answer
Nguyễn Phú Trọng là ai,"Ông hiện là Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam , Chủ tịch nước Cộng hoà xã hội chủ nghĩa Việt Nam , Đại biểu Quốc hội Việt Nam khoá XIV nhiệm kì 2016 – 2021 , thuộc đoàn đại biểu quốc hội thành phố Hà Nội .","Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam , Chủ tịch nước Cộng hoà xã hội chủ nghĩa Việt Nam , Đại biểu Quốc hội Việt Nam khoá XIV nhiệm kì 2016 – 2021"
Quê hương của trọng tài quốc tế Stanley Rous có biên giới trên bộ với Scotland về phía tây phải không?,"Sir Stanley Ford Rous, CBE (25 tháng 4 năm 1895 - 18 tháng 7 năm 1986) là một trọng tài quốc tế người Anh và là chủ tịch thứ sáu của FIFA từ năm 1961 đến năm 1974. Quốc gia này có biên giới trên bộ với Scotland về phía bắc và với Wales về phía tây.",không
Facebook được truy cập từ thiết bị gì,"Facebook có thể truy cập được từ hầu như mọi thiết bị có khả năng kết nối Internet , từ máy tính để bàn , máy tính xách tay , máy tính bảng cho đến điện thoại thông minh .",hầu như mọi thiết bị có khả năng kết nối Internet
Cảng biển lớn nhất miền nam nước Pháp,Cảng Marseille là một trong những cảng biển lâu đời nhất nước Pháp và cũng là một cảng dầu trên biển bận rộn nhất.,Cảng Marseille
Người thành lập Theranos là ai,"Được thành lập vào năm 2003 bởi Elizabeth Holmes , 19 tuổi , Theranos đã huy động được hơn 700 triệu USD từ các quỹ đầu tư và nhà đầu tư tư nhân , dẫn đến việc nó được định giá 10 tỷ USD vào thời điểm cao nhất trong năm 2013 và 2014 .",Elizabeth Holmes
Thành viên John Lennon của The Beatles sáng lập nên ban nhạc Plastic Ono Band phải không?,"Với 4 thành viên John Lennon, Paul McCartney, George Harrison và Ringo Starr, họ được coi là ban nhạc có ảnh hưởng nhất mọi thời đại. Năm 1969, ông thành lập nên ban nhạc Plastic Ono Band với người vợ thứ hai, Yoko Ono.",đúng
Câu lạc bộ nào Chris Sutton đã chơi được thành lập vào năm 1874?,"Anh chơi ở vị trí Tiền đạo từ năm 1991 đến năm 2007 cho các đội bóng Norwich City, Blackburn Rovers, Chelsea, Celtic, Birmingham City và Aston Villa. Được thành lập vào năm 1874, họ thi đấu các trận đấu sân nhà của họ tại Villa Park kể từ năm 1897.",Aston Villa F.C.
Đĩa đơn đầu tay Love Me Do của The Beatles ra mắt vào năm nào,"Họ sớm có được sự chú ý ở Anh ngay với đĩa đơn đầu tay "" Love Me Do "" vào cuối năm 1962 .",cuối năm 1962
Vịnh Hạ Long lần thứ hai được công nhận là di sản thiên nhiên thế giới vào năm nào,"Ngày 2 tháng 12 năm 2000, căn cứ Công ước Quốc tế về bảo vệ Di sản văn hóa và thiên nhiên thế giới và kết quả xét duyệt hồ sơ địa chất vịnh Hạ Long, tại Hội nghị lần thứ 24 của Hội đồng Di sản Thế giới tại thành phố Cairns, Queensland, Úc, Hội đồng Di sản Thế giới đã công nhận vịnh Hạ Long là di sản thế giới lần thứ 2 theo tiêu chuẩn (viii) về giá trị địa chất với hai giá trị nổi bật toàn cầu về lịch sử địa chất và địa mạo caxtơ.","năm 2000,"
"Nhóm nhạc của ca khúc ""Harder, Better, Faster, Stronger"" gồm 2 người phải không?","""Harder, Better, Faster, Stronger"" là ca khúc của ban nhạc người Pháp Daft Punk. Daft Punk là một bộ đôi nhạc điện tử Pháp gồm Guy-Manuel de Homem-Christo và Thomas Bangelter.",đúng
Đĩa mở rộng có ca khúc So Happy I Could Die phát hành vào ngày nào?,"""So Happy I Could Die"" (tạm dịch: Thật Hạnh Phúc, Tôi có thể Chết) là bài hát của nữ ca sĩ-nhạc sĩ người Mỹ Lady Gaga, trích từ đĩa mở rộng The Fame Monster (2009) của cô. The Fame Monster (tạm dịch: Quái vật danh tiếng) là album phòng thu tái phát hành của nữ ca sĩ-nhạc sĩ người Mỹ Lady Gaga phát hành vào ngày 18 tháng 11 năm 2009 từ album The Fame.",ngày 18 tháng 11 năm 2009 
Công ty lớn thứ 2 thế giới là gì,Tính đến đầu năm 2018 cổ phiếu Google chạm ngưỡng 1.160 USD đẩy giá trị công ty lên 804 tỷ USD và là công ty lớn thứ 2 sau Apple trên thế giới .,Google
ASCII là gì,"ASCII ( "" American Standard Code for Information Interchange "" - Chuẩn mã trao đổi thông tin Hoa Kỳ ) , thường được phát âm là "" át-xơ-ki "" , là bộ ký tự và bộ mã ký tự dựa trên bảng chữ cái La Tinh được dùng trong tiếng Anh hiện đại và các ngôn ngữ Tây Âu khác .",là bộ ký tự và bộ mã ký tự dựa trên bảng chữ cái La Tinh được dùng trong tiếng Anh hiện đại và các ngôn ngữ Tây Âu khác .
Thủ lĩnh của cuộc khởi nghĩa Yên Thế là ai,"Năm 1984, nhân dịp kỷ niện 100 năm khởi nghĩa Yên Thế, Bắc Giang đã khánh thành tượng đài Hoàng Hoa Thám.",Hoàng Hoa Thám
Đại học mà Kim Boo-kyum học ngành khoa học chính trị năm 1976 được thành lập năm 1946 phải không?,"Kim được nhận vào học ngành khoa học chính trị tại Đại học Quốc gia Seoul năm 1976, nhưng bị trục xuất vì tham gia các cuộc biểu tình phản đối Hiến pháp Yushin năm 1977, trước khi bị bắt lại và bị trục xuất một lần nữa vì vi phạm luật quân sự năm 1980. Được thành lập vào ngày 27 tháng 8 năm 1946, Seoul là một trong ba đại học danh giá bậc nhất tại Hàn Quốc (nhóm SKY) cùng với các trường Đại học Cao Ly và Yonsei.",đúng
Tác phẩm thành công đầu tiên của Anna Paquin đặt bối cảnh ở thế kỷ thứ mấy?,"Phim thành công đầu tiên của Paquin là phim The Piano, đã mang lại cho cô Giải Oscar cho nữ diễn viên phụ xuất sắc nhất vào năm 1994 ở tuổi 11 – người trẻ thứ nhì đoạt giải trong lịch sử. Đặt bối cảnh giữa thế kỷ 19 trong một thị trấn biên giới bên bờ sông đầy bùn và ẩm ướt ở mạn biển phía tây của New Zealand, câu chuyện xoay quanh niềm đam mê chơi piano của một nghệ sĩ chơi nhạc cụ này và những cố gắng của cô để chuộc lại cây đàn sau khi nó bị bán.",19
Yoona là ai,"Im Yoon-ah ( Hangul : 임윤아 , Hanja : 林允儿 , Hán-Việt : Lâm Duẫn Nhi , sinh ngày 30 tháng 5 năm 1990 ) , thường được biết đến với nghệ danh Yoona , là một nữ ca sĩ và diễn viên người Hàn Quốc , thành viên nhóm nhạc nữ [ [ Girls ' Generation ] 소녀시대 ] .",nữ ca sĩ và diễn viên người Hàn Quốc
Ai trong siêu ban nhạc Traveling Wilburys là tay guitar chính của ban nhạc The Beatles?,"Traveling Wilburys là một siêu ban nhạc bao gồm Bob Dylan, George Harrison, Jeff Lynne, Roy Orbison và Tom Petty, đi kèm là tay trống Jim Keltner. George Harrison MBE (25 tháng 2 năm 1943 – 29 tháng 11 năm 2001), là một nam nhạc công, ca sĩ, nhạc sĩ, nhà sản xuất phim và thu âm người Anh, tay guitar chính của ban nhạc The Beatles.",George Harrison
Tập đoàn phát triển PDF có trụ sở chính đặt tại đâu?,"PDF (viết tắt của từ tiếng Anh: Portable Document Format, Định dạng Tài liệu Di động) là một định dạng tập tin văn bản khá phổ biển được phát triển bởi Adobe Systems. Tập đoàn Adobe (tiếng Anh: Adobe Systems Incorporated; phát âm: a-DOE-bee, giống như A-đô-bi trong tiếng Việt; mã NASDAQ: ADBE) là một tập đoàn phần mềm máy tính của Hoa Kỳ có trụ sở chính đặt tại San Jose, California, Hoa Kỳ.","San Jose, California, Hoa Kỳ"
Quốc gia của Herbert A. Simon có tên tiếng Anh là United States phải không?,"Herbert Alexander Simon (15/6/1916 – 9/2/2001) là một nhà khoa học chính trị, kinh tế, xã hội học, tâm lý học người Mỹ và đặc biệt là giáo sư tại Đại học Carnegie Mellon—nơi ông có các nghiên cứu về nhiều lĩnh vực như nhận thức tâm lý, khoa học nhận thức, khoa học máy tính, hành chính, kinh tế, quản lý, khoa học triết học, xã hội học và khoa học chính trị. Hoa Kỳ (tiếng Anh: United States; viết tắt: U.S. hay US), hay còn được gọi là Mỹ (tiếng Anh: America), tên đầy đủ là Hợp chúng quốc Hoa Kỳ (tiếng Anh: United States of America, viết tắt: U.S.A. hay USA), là một quốc gia cộng hòa lập hiến liên bang thuộc châu Mỹ.",đúng
Myanmar còn được gọi là gì,"Trong tiếng Myanmar , "" Myanmar "" là tên quốc gia , trong khi "" Bama "" ( "" Burma "" lấy nguồn gốc từ đây ) là tên gọi thông tục .",Bama
"Chu Văn An từng dâng ""thất trảm sớ"" chém đầu 7 nịnh thần lên vua nào","Trần Dụ Tông Dưới thời vua Trần Dụ Tông, triều đình suy yếu do nạn tham quan ô lại, nhà vua chỉ lo ăn chơi trác táng.",Trần Dụ Tông
Alessandro Nesta nhỏ tuổi hơn Chris Kyle phải không?,"Christopher Scott Chris Kyle (8 tháng 4 năm 1974 – 02 tháng 02 năm 2013) là Cựu biệt kích hải quân Mỹ (SEAL), xạ thủ bắn tỉa đang nắm kỷ lục hạ kẻ địch ở Iraq. Alessandro Nesta (sinh ngày 19 tháng 3 năm 1976 tại Roma, Ý) là một cầu thủ bóng đá người Ý đã giải nghệ, Nesta được nhiều người công nhận là trung vệ xuất sắc nhất trong thế hệ của anh và là một trong những hậu vệ xuất sắc mọi thời đại với 4 lần được bình chọn là hậu vệ xuất sắc nhất Serie A và 4 lần được bình chọn vào đội hình tiêu biểu trong năm của bóng đá châu Âu.",đúng
Tổng thống có George Marshall là cố vấn quân sự cấp cao thường được gọi tắt là gì?,"Marshall là Tham mưu trưởng Lục quân Hoa Kỳ và là một cố vấn quân sự cấp cao cho Tổng thống Franklin D. Roosevelt. Franklin Delano Roosevelt (,  ROH-zə-velt; 30 tháng 1 năm 1882 – 12 tháng 4 năm 1945), thường được gọi tắt là FDR, là một chính trị gia và luật sư người Mỹ, tổng thống thứ 32 của Hoa Kỳ từ năm 1933 cho đến khi qua đời vào năm 1945.",FDR
Thời đại Chiến Quốc diễn ra trong khoảng thời gian nào,Thời đại Chiến Quốc kéo dài từ khoảng thế kỷ 5 TCN tới khi Trung Quốc thống nhất dưới thời Tần năm 221 TCN .,từ khoảng thế kỷ 5 TCN tới khi Trung Quốc thống nhất dưới thời Tần năm 221 TCN
Nghệ sĩ có album Mi Reflejo là chủ nhân của mấy giải Grammy Latin?,"Mi Reflejo là album phòng thu thứ hai và là album tiếng Tây Ban Nha đầu tiên của nữ ca sĩ nhạc pop người Mỹ Christina Aguilera. Cô là chủ nhân của năm giải Grammy, một giải Grammy Latin và một ngôi sao trên Đại lộ Danh vọng Hollywood, cô được mệnh danh là ""Tiếng hát của một thế hệ"" và được vinh danh là Huyền thoại Disney lần lượt vào năm 2012 và năm 2019.",một
Truyện Kiều viết theo thể thơ gì,"Đây được xem là truyện thơ nổi tiếng nhất và xét vào hàng kinh điển trong văn học Việt Nam , tác phẩm được viết bằng chữ Nôm theo thể lục bát , gồm 3254 câu .",lục bát
Đan Nguyên đang cộng tác với trung tâm nào,"Đầu năm 2016 , Đan Nguyên bắt đầu cộng tác với trung tâm Thuý Nga từ cuốn "" Paris by Night 118 : "" 50 năm âm nhạc Đức Huy "" "" .",Thuý Nga
Cúp mà Ted Drake vô địch hai lần có tên đầy đủ là League 1 phải không?,"Khi là cầu thủ, ông thi đấu những trận đầu tiên cho Southampton nhưng lại làm nên tên tuổi ở Arsenal những năm 1930, hai lần vô địch quốc gia và một FA Cup, cũng như năm lần khoác áo tuyển Anh. Cúp FA (tên tiếng Anh đầy đủ: The Football Association Challenge Cup) là một giải bóng đá loại trực tiếp hàng năm dành cho Nam ở Anh.",không
Trái đất được hình thành từ khi nào,"Lịch sử kiến tạo Trái đất của chúng ta được khắc họa từ thời điểm bắt đầu hình thành trong vũ trụ, cách đây khoảng 4,55 tỷ năm.","cách đây khoảng 4,55 tỷ năm."
Đội bóng Juan Mata đang thi đấu có trụ sở ở đâu?,"Juan Manuel Mata García (phát âm tiếng Tây Ban Nha: [ˈxwan manˈwel ˈmata]; sinh ngày 28 tháng 4 năm 1988) là cầu thủ bóng đá người Tây Ban Nha đang thi đấu ở vị trí tiền vệ cánh cho câu lạc bộ Manchester United. Câu lạc bộ bóng đá Manchester United (tiếng Anh: Manchester United Football Club, hay ngắn gọn là MU hay Man Utd) là một câu lạc bộ bóng đá chuyên nghiệp có trụ sở tại Old Trafford, Đại Manchester, Anh.","Old Trafford, Đại Manchester, Anh"
Indonesia có dân số đứng thứ mấy trên thế giới,"Indonesia được mệnh danh là "" "" Xứ sở vạn đảo "" "" , lãnh thổ của nó bao gồm "" 13.487 "" hòn đảo và với dân số khoảng 255 triệu người ( năm 2015 ) , đứng thứ tư thế giới về dân số .",đứng thứ tư
Quốc gia của Emil Theodor Kocher có bao nhiêu bang?,"Bản mẫu:Infobox Medical Person  Emil Theodor Kocher (25.8.1841 – 27.7.1917) là một thầy thuốc, một nhà nghiên cứu y học người Thụy Sĩ, đã đoạt giải Nobel Sinh lý và Y khoa năm 1909 cho công trình nghiên cứu trong sinh lý học, bệnh lý học và giải phẫu tuyến giáp. Quốc gia này gồm có 26 bang, và thành phố Bern là nơi đặt trụ sở nhà đương cục liên bang.",26
Nước nào Nicolaus Copernicus từng học tập từng được gọi là Vương quốc Ba Lan?,"Ông học tập ở Ba Lan và Ý, và dành phần lớn cuộc đời làm việc ở Frombork, Hoàng gia Phổ, nơi ông mất năm 1543. Vương quốc Ba Lan (tiếng Latinh: Regnum Poloniae) là tên của nhà nước Ba Lan trong những năm 1000  đến năm 1795, và từ năm 1815 đến năm 1916, là tên chính thức một liên minh cá nhân với Đế quốc Nga.",Ba Lan
"Diễn viên đóng vai Adrian Cronauer trong cuốn phim chiếu năm 1987 Good Morning, Vietnam là người nước nào?","Ông đã gây cảm hứng cho cuốn phim chiếu năm 1987 Good Morning, Vietnam, vai ông được đóng bởi Robin Williams. Robin McLaurin Williams (21 tháng 7 năm 1951 – 11 tháng 8 năm 2014) là một diễn viên và nghệ sĩ hài người Mỹ.Ông nổi tiếng nhờ những bộ phim thành công về mặt chuyên môn như The World According to Garp (1982), Good Morning, Vietnam (1987), Dead Poets Society (1989), Awakenings (1990), The Fisher King (1991), và Good Will Hunting (1997), Popeye (1980), Hook (1991), Aladdin (1992), Mrs. Doubtfire (1993), Jumanji (1995), The Birdcage (1996), Bicentennial Man (1999), Night at the Museum (2006), Happy Feet (2006), và Happy Feet Two (2011).",Mỹ
Đất nước có Suomen virallinen lista giáp với Nga về phía nào?,"Danh sách chính thức Phần Lan (tiếng Phần Lan: Suomen virallinen lista, tiếng Thụy Điển: Finlands officiella lista) là tên gọi các bảng xếp hạng thu âm quốc gia của Phần Lan, được đăng bởi ÄKT (IFPI Phần Lan). Phần Lan giáp với Thụy Điển về phía Tây, Nga về phía Đông, Na Uy về phía Bắc và Estonia về phía Nam qua Vịnh Phần Lan.",Đông
Phim Bộ bộ kinh tâm do hãng phim nào sản xuất,Bộ Bộ Kinh Tâm là bộ phim truyền hình cổ trang của Trung Quốc được chuyển thể từ tiểu thuyết cùng tên của nhà văn Đồng Hoa do hãng phim Thượng Hải Đường Nhân sản xuất năm 2011 .,Thượng Hải Đường Nhân
Thành phố mà Courtney Love chủ yếu lớn lên có dân số 562.690 phải không?,"Sinh ra trong một gia đình có cha mẹ là người theo chủ nghĩa văn hóa phản kháng ở San Francisco, Love có một tuổi thơ phiêu bạt, nhưng sau này bà chủ yếu lớn lên thành phố ở Portland, Oregon. Với dân số 562.690 đây là thành phố đông dân nhất Oregon và là thành phố đông dân thứ ba ở vùng Tây Bắc Thái Bình Dương, đứng sau Seattle, Washington và Vancouver, British Columbia.",đúng
Giải thưởng mà Roy Makaay đã được trao với 29 bàn  có tên gọi cũ là gì?,"Anh cũng đã giành được Copa del Rey vào năm 2002 và mùa giải tiếp theo đã được trao Chiếc giày vàng châu Âu với 29 bàn. Chiếc giày vàng châu Âu (tiếng Anh: European Golden Shoe, tên gọi cũ là European Golden Boot) là một giải thưởng bóng đá hằng năm được trao cho cầu thủ ghi nhiều bàn thắng nhất tại các trận đấu thuộc hệ thống các giải đấu hàng đầu quốc gia thuộc Liên đoàn bóng đá châu Âu trong một mùa giải.",European Golden Boot
John Adams lớn tuổi hơn Sylvester Stallone phải không?,"John Adam, Jr. (30 tháng 10 năm 1735 - 4 tháng 7 năm 1826) là một chính khách Hoa Kỳ, luật sư, nhà ngoại giao, nhà văn và một trong những nhà lập quốc người đã phục vụ như Tổng thống thứ 2 Hoa Kì từ 1797 tới 1801. Sylvester Stallone (tên thật là Sylvester Gardenzio Stallone; sinh ngày 6 tháng 7 năm 1946) là một diễn viên, người viết kịch bản, đạo diễn, nhà sản xuất phim người Mỹ.",đúng
Nhóm nhạc của Kwon Yuri lúc bắt đầu có 9 thành viên phải không?,"Đây là một tên người Triều Tiên, họ là Kwon.Kwon Yoo-ri (Hangul: 권유리, sinh ngày 5 tháng 12 năm 1989), thường được biết đến với nghệ danh Yuri, là một nữ ca sĩ và diễn viên người Hàn Quốc, thành viên nhóm nhạc nữ quốc dân Girls' Generation do S.M. Entertainment thành lập và quản lý. Khởi đầu là một nhóm nhạc 9 thành viên, Jessica đã rời nhóm vào tháng 9 năm 2014.",đúng
Album nào giúp Adele ghi danh trong sách kỷ lục Guinness,""" 21 "" cũng giúp Adele được ghi danh trong "" Sách Kỷ lục Guinness "" .",""" 21 """
Có bao nhiêu nước tham gia Hiệp định đối tác xuyên Thái Bình Dương,"Hiệp định Đối tác xuyên Thái Bình Dương ( tiếng Anh : "" Trans-Pacific Partnership Agreement "" - viết tắt TPP ) là một hiệp đinh / thoả thuận thương mại tự do được ký kết giữa 12 nước vào ngày 4 tháng 2 năm 2016 tại Auckland , New Zealand sau 5 năm đàm phán với mục đích hội nhập các nền kinh tế thuộc khu vực châu Á-Thái Bình Dương .",12 nước
Quốc gia có cố đô là Sankt-Peterburg tồn tại từ năm nào đến năm nào?,Đây là thành phố lớn thứ nhì ở Nga và cũng là cố đô của Đế quốc Nga. Rossiyskaya Imperiya) là một quốc gia tồn tại từ năm 1721 đến khi Chính phủ lâm thời lên nắm quyền sau cuộc Cách mạng Tháng Hai năm 1917.,năm 1721 đến năm 1917
Abraham Lincoln lớn tuổi hơn Forest Whitaker phải không?,"Forest Steven Whitaker III (sinh ngày 15 tháng 7 năm 1961) là một diễn viên, đạo diễn và nhà sản xuất người Mỹ. Abraham Lincoln (; 12 tháng 2 năm 1809 – 15 tháng 4 năm 1865) là một chính khách và luật sư người Mỹ, tổng thống thứ 16 của Hoa Kỳ từ năm 1861 cho đến khi ông bị ám sát vào năm 1865.",đúng
Giải đấu đội bóng Barnsley F.C. hiện đang thi đấu là giải đấu xếp thứ mấy của các đội bóng bóng đá Anh?,"Hiện tại đội bóng đang thi đấu ở League One (hạng nhì Anh). English Football League One (gọi tắt là League One) hoặc cũng có thể gọi là: Sky Bet League 1 (vì lý do tài trợ) là giải đấu xếp thứ ba của các câu lạc bộ bóng đá Anh, sau Giải bóng đá Ngoại hạng Anh và EFL Championship.",ba
Phổ Đà Sơn là gì,"Phổ Đà Sơn , núi Chùa Cao hay núi Phổ Đà , là tên gọi chung của 5 ngọn núi cao nhất trong dãy núi đá vôi trùng điệp xuất phát từ Miếu Môn kéo dài về đến Hương Sơn .",là tên gọi chung của 5 ngọn núi cao nhất trong dãy núi đá vôi trùng điệp xuất phát từ Miếu Môn kéo dài về đến Hương Sơn
Anime là gì,"Bên ngoài Nhật Bản , anime ám chỉ tính đặc trưng riêng biệt của hoạt hình Nhật Bản , hoặc như một phong cách hoạt hình phổ biến tại Nhật Bản mà thường được mô tả bởi đồ hoạ tràn đầy màu sắc , các nhân vật sống động và những chủ đề tuyệt vời .","ám chỉ tính đặc trưng riêng biệt của hoạt hình Nhật Bản , hoặc như một phong cách hoạt hình phổ biến tại Nhật Bản"
Ngày truyền thống của Quân lực Việt Nam Cộng hoà là ngày mấy,Ngày truyền thống (còn gọi là Ngày Quân lực) là ngày 19 tháng 6.,ngày 19 tháng 6.
Giờ mở cửa của tháp Eiffel,"Đón tiếp khách du lịch đến từ mọi quốc gia , tháp Eiffel mở cửa tất cả các ngày trong năm , từ 9 giờ tới 24 giờ trong khoảng 13 tháng 6 tới 31 tháng 8 và 9 giờ 30 tới 23 giờ trong khoảng thời gian còn lại của năm .","tháp Eiffel mở cửa tất cả các ngày trong năm , từ 9 giờ tới 24 giờ trong khoảng 13 tháng 6 tới 31 tháng 8 và 9 giờ 30 tới 23 giờ trong khoảng thời gian còn lại của năm"
Nghệ sĩ thu âm bài hát Million Reasons sinh ra và lớn lên tại thành phố New York phải không?,"""Million Reasons"" (tiếng Việt: ""Hàng triệu lí do"") là một bài hát của nghệ sĩ thu âm người Mỹ Lady Gaga nằm trong album phòng thu thứ năm của cô, Joanne (2016). Sinh ra và lớn lên tại thành phố New York, cô đã được học tập tại trường Convent of the Sacred Heart trong thời gian ngắn và nhập học tại trường  Collaborative Arts Project 21.",đúng
Ngôi đền nào được vẽ trên cờ của Campuchia,"Quốc kỳ Campuchia gồm có ba sọc ngang màu xanh biển, đỏ và hình Angkor Wat màu trắng ở chính giữa.",Angkor Wat
